Time (hr),Year,Month,Day,Hour,Temperature (K),Direct Flux (W/m2),Clear Direct Flux (W/m2),Zenith (deg from up),Azimuth (deg from north cw)
55.0,2019.0,3.0,9.0,7.0,272.9722222222222,0.89,7.684165465928485,88.23101147391317,97.09671142259509
56.0,2019.0,3.0,9.0,8.0,273.4833333333333,58.74,587.1640832409496,77.27918431375248,107.10473429963456
57.0,2019.0,3.0,9.0,9.0,274.14444444444445,152.19,802.7867347062997,66.73910333842525,118.24778224441094
58.0,2019.0,3.0,9.0,10.0,274.4611111111111,231.4,892.3437015164828,57.33541969137098,131.43610758176877
59.0,2019.0,3.0,9.0,11.0,274.7111111111111,315.06,935.1800093599423,49.873151015685345,147.5816134198556
60.0,2019.0,3.0,9.0,12.0,274.9111111111111,380.92,953.8764414211095,45.411524855145124,166.95574574438496
61.0,2019.0,3.0,9.0,13.0,275.1944444444444,406.73,955.7782059493497,44.897393660633824,188.09587732057156
62.0,2019.0,3.0,9.0,14.0,275.6722222222222,523.32,941.5585984843264,48.45997602500045,208.12000921188815
63.0,2019.0,3.0,9.0,15.0,276.2,428.09,905.8753713590047,55.289416151034594,225.08338432367412
64.0,2019.0,3.0,9.0,16.0,276.6111111111111,498.4,831.5783827209098,64.29844786708541,238.92710510107216
65.0,2019.0,3.0,9.0,17.0,276.7833333333333,343.54,660.2627477068328,74.61287343350466,250.4950935501779
66.0,2019.0,3.0,9.0,18.0,276.7222222222222,163.76,157.7866847927006,85.56530953997516,260.7225155688517
67.0,2019.0,3.0,9.0,19.0,276.1333333333333,12.46,0.0,97.13909637284331,270.4354354434513
68.0,2019.0,3.0,9.0,20.0,275.72222222222223,0.0,0.0,108.51700337579757,280.4180049146137
69.0,2019.0,3.0,9.0,21.0,275.3611111111111,0.0,0.0,119.50625005867866,291.56220943133866
70.0,2019.0,3.0,9.0,22.0,275.1222222222222,0.0,0.0,129.57872215713633,305.0448010191073
71.0,2019.0,3.0,9.0,23.0,275.6333333333333,0.0,0.0,137.86551384575674,322.3697569708969
72.0,2019.0,3.0,10.0,0.0,276.0611111111111,0.0,0.0,137.86551384575674,322.3697569708969
73.0,2019.0,3.0,10.0,1.0,276.2222222222222,0.0,0.0,143.00507851153552,344.5528847447831
74.0,2019.0,3.0,10.0,2.0,276.2833333333333,0.0,0.0,143.56972559138293,9.694345551640964
75.0,2019.0,3.0,10.0,3.0,276.29999999999995,0.0,0.0,139.36114270916096,32.868767373783015
76.0,2019.0,3.0,10.0,4.0,276.3611111111111,0.0,0.0,131.64716353670173,51.25956126666176
77.0,2019.0,3.0,10.0,5.0,275.6222222222222,0.0,0.0,121.87904455824277,65.4675663262568
78.0,2019.0,3.0,10.0,6.0,275.54999999999995,0.0,0.0,111.0309908474265,77.01365741395735
79.0,2019.0,3.0,10.0,7.0,275.2,0.89,0.0,99.68902183410248,87.1575479277174
80.0,2019.0,3.0,10.0,8.0,276.0444444444444,73.87,15.060577350762486,87.95128183223002,96.83994505222691
81.0,2019.0,3.0,10.0,9.0,276.8611111111111,186.01,595.0420517461646,76.96781348086922,106.8546844085348
82.0,2019.0,3.0,10.0,10.0,277.9722222222222,297.26,805.149927607245,66.40802807907755,118.01039100289648
83.0,2019.0,3.0,10.0,11.0,279.1222222222222,386.26,893.082273421982,56.97880673124777,131.2296890132698
84.0,2019.0,3.0,10.0,12.0,280.1111111111111,437.88,935.2801855351248,49.4901944219816,147.44602503130045
85.0,2019.0,3.0,10.0,13.0,280.9944444444444,485.94,953.7028530873546,45.01481767009073,166.94824285426435
86.0,2019.0,3.0,10.0,14.0,280.3222222222222,460.13,955.5202562984128,44.51491483381528,188.24605207331945
87.0,2019.0,3.0,10.0,15.0,280.9111111111111,442.33,941.3710806954342,48.11787723040628,208.38943408513876
88.0,2019.0,3.0,10.0,16.0,280.4833333333333,373.8,905.9797315574671,54.9951787200466,225.4079366599417
89.0,2019.0,3.0,10.0,17.0,279.59999999999997,252.76,832.4882631717393,64.04495901909283,239.26632174840893
90.0,2019.0,3.0,10.0,18.0,279.1111111111111,117.48,663.7811050389005,74.38852379460427,250.8345247797153
91.0,2019.0,3.0,10.0,19.0,278.51111111111106,8.9,171.03762635706516,85.3626732084214,261.06153550955526
92.0,2019.0,3.0,10.0,20.0,278.2722222222222,0.0,0.0,96.93551117853853,270.77917186744605
93.0,2019.0,3.0,10.0,21.0,278.2333333333333,0.0,0.0,108.30666244308765,280.7732624136797
94.0,2019.0,3.0,10.0,22.0,278.1944444444444,0.0,0.0,119.27582877702687,291.93375956331346
95.0,2019.0,3.0,10.0,23.0,278.0444444444444,0.0,0.0,129.31255369480255,305.4269364551571
96.0,2019.0,3.0,11.0,0.0,277.3222222222222,0.0,0.0,137.54811884400536,322.7252334877669
97.0,2019.0,3.0,11.0,1.0,276.7722222222222,0.0,0.0,142.63386993055428,344.7880540787054
98.0,2019.0,3.0,11.0,2.0,276.29999999999995,0.0,0.0,143.17241138693657,9.71611946591338
99.0,2019.0,3.0,11.0,3.0,276.2833333333333,0.0,0.0,138.97746273378382,32.70944151581716
100.0,2019.0,3.0,11.0,4.0,276.1722222222222,0.0,0.0,131.29375116749765,51.01640054684319
101.0,2019.0,3.0,11.0,5.0,274.8833333333333,0.0,0.0,121.55231225821235,65.2011078874134
102.0,2019.0,3.0,11.0,6.0,275.51111111111106,0.0,0.0,110.72131883802194,76.74658385873074
103.0,2019.0,3.0,11.0,7.0,275.8611111111111,1.78,0.0,99.38660994916354,86.89556640063648
104.0,2019.0,3.0,11.0,8.0,276.9833333333333,62.3,25.27247983284203,87.6674326539567,96.58343554793346
105.0,2019.0,3.0,11.0,9.0,278.1222222222222,138.84,602.6431409578753,76.65496864135619,106.60442434726885
106.0,2019.0,3.0,11.0,10.0,279.8111111111111,231.4,807.424951490165,66.07569457041653,117.77238810903332
107.0,2019.0,3.0,11.0,11.0,281.6111111111111,348.88,893.7726951689127,56.62101090628781,131.0224799166433
108.0,2019.0,3.0,11.0,12.0,282.4444444444444,436.99,935.3444469911532,49.10604677714252,147.31021704918334
109.0,2019.0,3.0,11.0,13.0,281.6722222222222,380.92,953.4973864515671,44.617060476384346,166.94250480271336
110.0,2019.0,3.0,11.0,14.0,281.34444444444443,275.01,955.2306346637537,44.13200173689547,188.40050734827156
111.0,2019.0,3.0,11.0,15.0,281.15,282.13,941.1488437970402,47.77620990594158,208.66399491843555
112.0,2019.0,3.0,11.0,16.0,281.7444444444444,291.03,906.0410903525955,54.70194689574704,225.73686076257016
113.0,2019.0,3.0,11.0,17.0,280.5333333333333,340.87,833.3329832424313,63.79262802430637,239.6088026188872
114.0,2019.0,3.0,11.0,18.0,279.6222222222222,161.98,667.1540133471523,74.16518526947925,251.17633253831912
115.0,2019.0,3.0,11.0,19.0,278.75,13.35,184.09759351857303,85.1604095149371,261.40229346387315
116.0,2019.0,3.0,11.0,20.0,278.1222222222222,0.0,0.0,96.7322911474114,271.1241483565625
117.0,2019.0,3.0,11.0,21.0,277.5,0.0,0.0,108.09624547630376,281.1292704827395
118.0,2019.0,3.0,11.0,22.0,277.09444444444443,0.0,0.0,119.04486734415143,292.30542070808394
119.0,2019.0,3.0,11.0,23.0,276.7111111111111,0.0,0.0,129.0454442955005,305.8082315334589
120.0,2019.0,3.0,12.0,0.0,276.0833333333333,0.0,0.0,137.22962945992646,323.0788156381647
121.0,2019.0,3.0,12.0,1.0,275.5333333333333,0.0,0.0,142.2617521590614,345.02180506395337
